# ion_class=KCa, nodes=154, copies_total=456
node_id,name,ion_class,copies,unique_ids
3567,139653_SK_E2-ID-1,KCa,1,139653_SK_E2-ID-1
3582,127507_newkca-ID-1,KCa,1,127507_newkca-ID-1
3634,3670_IAHP-ID-1,KCa,1,3670_IAHP-ID-1
3648,125857_kahp-ID-1,KCa,1,125857_kahp-ID-1
3656,125857_kc-ID-1,KCa,1,125857_kc-ID-1
3680,151949_iKCa-ID-1,KCa,1,151949_iKCa-ID-1
3697,74298_sKCa-ID-1,KCa,1,74298_sKCa-ID-1
3871,144482_kc-ID-1,KCa,1,144482_kc-ID-1
3882,150288_sahpNE-ID-1,KCa,1,150288_sahpNE-ID-1
3885,150288_sahp-ID-1,KCa,1,150288_sahp-ID-1
3986,87473_kca-ID-1,KCa,1,87473_kca-ID-1
3995,155796_kca_slow-ID-1,KCa,1,155796_kca_slow-ID-1
4002,155796_kca_fast-ID-1,KCa,1,155796_kca_fast-ID-1
4019,3807_gkca-ID-1,KCa,1,3807_gkca-ID-1
4023,150446_KahpTraub1994-ID-1,KCa,1,150446_KahpTraub1994-ID-1
4031,150446_KcTraub1994-ID-1,KCa,1,150446_KcTraub1994-ID-1
4041,51196_grc_kca-ID-1,KCa,1,51196_grc_kca-ID-1
4079,139418_ISK-ID-1,KCa,1,139418_ISK-ID-1
4103,98005_bk_ch-ID-1,KCa,1,98005_bk_ch-ID-1
4107,98005_sk_ch-ID-1,KCa,1,98005_sk_ch-ID-1
4203,140471_aabBK-ID-1,KCa,1,140471_aabBK-ID-1
4231,3808_iahp-ID-1,KCa,1,3808_iahp-ID-1
4265,126637_K23cvode-ID-1,KCa,1,126637_K23cvode-ID-1
4269,126637_KC3cvode-ID-1,KCa,1,126637_KC3cvode-ID-1
4272,126637_KC3-ID-1,KCa,1,126637_KC3-ID-1
4277,126637_K23-ID-1,KCa,1,126637_K23-ID-1
4398,20756_kc-ID-1,KCa,1,20756_kc-ID-1
4463,82849_ic-ID-1,KCa,1,82849_ic-ID-1
4479,112546_cagk-ID-1,KCa,1,112546_cagk-ID-1
4507,122329_sk_gp-ID-1,KCa,1,122329_sk_gp-ID-1
4536,35358_kcRT03-ID-1,KCa,1,35358_kcRT03-ID-1
4537,35358_rkq-ID-1,KCa,1,35358_rkq-ID-1
4568,84589_kahp-ID-1,KCa,1,84589_kahp-ID-1
4581,84589_kc-ID-1,KCa,1,84589_kc-ID-1
4683,20212_kca-ID-2,KCa,1,20212_kca-ID-2
4686,20212_my_kca-ID-1,KCa,1,20212_my_kca-ID-1
4696,20212_vkca-ID-1,KCa,1,20212_vkca-ID-1
4697,20212_cagk-ID-2,KCa,1,20212_cagk-ID-2
4717,20212_kc-ID-1,KCa,1,20212_kc-ID-1
