# ion_class=Ih, nodes=128, copies_total=380
node_id,name,ion_class,copies,unique_ids
2674,151282_iholmw-ID-1,Ih,2,151282_iholmw-ID-1;258738_iholmw-ID-1
2675,151282_CA3ih-ID-1,Ih,2,151282_CA3ih-ID-1;258738_CA1ih-ID-1
2676,151282_HCN1-ID-1,Ih,2,151282_HCN1-ID-1;258738_HCN1-ID-1
2678,126776_h-ID-1,Ih,1,126776_h-ID-1
2725,19591_h_chan-ID-1,Ih,1,19591_h_chan-ID-1
2785,3332_hcno-ID-1,Ih,2,3332_hcno-ID-1;37857_hcno-ID-1
2802,144526_h-ID-1,Ih,22,144526_h-ID-1;223955_h-ID-12;223955_h-ID-2;223955_h-ID-11;223955_h-ID-17;223955_h-ID-8;223955_h-ID-5;223955_h-ID-1;223955_h-ID-3;223955_h-ID-4;223955_h-ID-10;223955_h-ID-19;223955_h-ID-14;223955_h-ID-13;223955_h-ID-18;223955_h-ID-9;223955_h-ID-6;223955_h-ID-16;223955_h-ID-7;223955_h-ID-20;223955_h-ID-15;267355_h-ID-1
2811,147578_h-ID-1,Ih,2,147578_h-ID-1;147539_h-ID-1
2886,168310_hcb-ID-1,Ih,3,168310_hcb-ID-1;237595_hcb-ID-1;237595_hcb-ID-2
2946,108459_h-ID-1,Ih,1,108459_h-ID-1
2973,146026_h-ID-1,Ih,1,146026_h-ID-1
2985,147538_h-ID-1,Ih,1,147538_h-ID-1
2989,144520_if-ID-1,Ih,1,144520_if-ID-1
3071,141063_ih-ID-1,Ih,1,141063_ih-ID-1
3111,124063_Rod_ih-ID-1,Ih,1,124063_Rod_ih-ID-1
3130,93321_h-ID-1,Ih,1,93321_h-ID-1
3152,143719_h-ID-1,Ih,2,143719_h-ID-1;147757_h-ID-1
3158,19746_L98NCh-ID-1,Ih,1,19746_L98NCh-ID-1
3165,144589_h-ID-1,Ih,1,144589_h-ID-1
3269,105385_hcn12_gp-ID-1,Ih,1,105385_hcn12_gp-ID-1
3270,105385_hcn2_gp-ID-1,Ih,1,105385_hcn2_gp-ID-1
3299,143100_HCN-ID-1,Ih,2,143100_HCN-ID-1;267669_HCN-ID-1
3336,181967_h2-ID-1,Ih,1,181967_h2-ID-1
3430,186977_h_chann-ID-1,Ih,1,186977_h_chann-ID-1
3446,121259_h2-ID-1,Ih,1,121259_h2-ID-1
3483,144490_h-ID-1,Ih,1,144490_h-ID-1
3573,139653_Ih-ID-1,Ih,1,139653_Ih-ID-1
3632,3684_htc-ID-1,Ih,1,3684_htc-ID-1
3699,74298_Ih-ID-1,Ih,1,74298_Ih-ID-1
3791,9769_h-ID-1,Ih,1,9769_h-ID-1
3824,140828_ar-ID-1,Ih,1,140828_ar-ID-1
3959,114355_G_h-ID-1,Ih,2,114355_G_h-ID-1;114355_G_h-ID-2
4000,155796_ih-ID-1,Ih,1,155796_ih-ID-1
4074,116862_ntIh-ID-1,Ih,2,116862_ntIh-ID-1;136095_ntIh-ID-1
