# ion_class=Other, nodes=3216, copies_total=6527
node_id,name,ion_class,copies,unique_ids
47,76879_wc-ID-1,Other,1,76879_wc-ID-1
52,168314_synapse_inter2pyr-ID-1,Other,1,168314_synapse_inter2pyr-ID-1
53,129067_vecevent-ID-2,Other,20,129067_vecevent-ID-2;129067_vecevent-ID-1;151685_vecevent-ID-1;150239_vecevent-ID-1;168314_vecevent-ID-1;167499_vecevent-ID-1;182134_vecevent-ID-1;155735_vecevent-ID-1;185513_vecevent-ID-1;183300_vecstim-ID-2;222359_vecevent-ID-1;232023_vecevent-ID-1;241979_vecevent-ID-1;230861_vecevent-ID-1;222725_vecevent-ID-1;239177_vecevent-ID-1;267509_vecstim-ID-1;267307_vecevent-ID-1;266797_vecevent-ID-2;266797_vecevent-ID-1
54,168314_pyr2pyr-ID-1,Other,1,168314_pyr2pyr-ID-1
55,168314_izh-ID-1,Other,1,168314_izh-ID-1
56,12631_passiv-ID-1,Other,3,12631_passiv-ID-1;7399_passiv-ID-1;7400_passiv-ID-1
57,7399_pregencv-ID-1,Other,1,7399_pregencv-ID-1
58,7399_vecst-ID-1,Other,1,7399_vecst-ID-1
61,7399_precall-ID-1,Other,1,7399_precall-ID-1
62,7399_pulsecv-ID-1,Other,1,7399_pulsecv-ID-1
63,7399_AMPA-ID-1,Other,1,7399_AMPA-ID-1
64,7399_GABAA-ID-1,Other,1,7399_GABAA-ID-1
65,12631_pregen-ID-1,Other,2,12631_pregen-ID-1;7399_pregen-ID-1
66,7399_sinstim-ID-1,Other,4,7399_sinstim-ID-1;7400_sinstim-ID-1;102288_SIN-ID-1;187604_SIN-ID-1
67,7399_matrix-ID-1,Other,2,7399_matrix-ID-1;7400_matrix-ID-1
68,267710_NapIsb1-ID-1,Other,1,267710_NapIsb1-ID-1
69,267710_NafSmb1-ID-1,Other,1,267710_NafSmb1-ID-1
70,267710_KdrSmb1-ID-1,Other,1,267710_KdrSmb1-ID-1
71,267710_CaDen-ID-1,Other,1,267710_CaDen-ID-1
72,267710_NafIsb1-ID-1,Other,1,267710_NafIsb1-ID-1
73,267710_KdrIsb1-ID-1,Other,1,267710_KdrIsb1-ID-1
74,267710_CaSmb1-ID-1,Other,1,267710_CaSmb1-ID-1
75,2001735_info-ID-1,Other,2,2001735_info-ID-1;267710_info-ID-1
76,238332_syn_inh-ID-1,Other,2,238332_syn_inh-ID-1;267146_syn_inh-ID-1
77,238332_gap-ID-1,Other,2,238332_gap-ID-1;267146_gap-ID-1
78,238332_MN_kSlow-ID-1,Other,2,238332_MN_kSlow-ID-1;267146_MN_kSlow-ID-1
79,267146_syn_nmda-ID-1,Other,1,267146_syn_nmda-ID-1
80,267146_syn_ampa_test-ID-1,Other,1,267146_syn_ampa_test-ID-1
81,267146_syn_inh_sat-ID-1,Other,1,267146_syn_inh_sat-ID-1
82,267146_syn_nmda_test-ID-1,Other,1,267146_syn_nmda_test-ID-1
83,267146_dIN_ca-ID-1,Other,1,267146_dIN_ca-ID-1
84,267146_dIN_kFast-ID-1,Other,1,267146_dIN_kFast-ID-1
85,267146_syn_inh_std-ID-1,Other,1,267146_syn_inh_std-ID-1
86,267146_dIN_na-ID-1,Other,1,267146_dIN_na-ID-1
